locus_tag	ftype	length_bp	gene	EC_number	COG	product
Agy99_00030	CDS	459				hypothetical protein
Agy99_00031	CDS	315	opuCB		COG1174	Glycine betaine/carnitine/choline transport system permease protein OpuCB
Agy99_00032	CDS	234				hypothetical protein
Agy99_00033	CDS	1200	opuCA		COG1125	Glycine betaine/carnitine/choline transport ATP-binding protein OpuCA
Agy99_00034	CDS	669	opuBB_1		COG1174	Choline transport system permease protein OpuBB
Agy99_00035	CDS	408				hypothetical protein
Agy99_00036	CDS	948				hypothetical protein
Agy99_00037	CDS	1314	nrgA			Ammonium transporter
Agy99_00038	CDS	300				hypothetical protein
Agy99_00039	CDS	771				hypothetical protein
Agy99_00040	CDS	417	whiB5			Transcriptional regulator WhiB5
Agy99_00041	CDS	792			COG1396	putative HTH-type transcriptional regulator
Agy99_00042	CDS	828				hypothetical protein
Agy99_00043	CDS	381				putative protein
Agy99_00044	CDS	1266				hypothetical protein
Agy99_00045	CDS	318				hypothetical protein
Agy99_00046	CDS	405				hypothetical protein
Agy99_00047	CDS	1107				hypothetical protein
Agy99_00048	CDS	318				putative protein
Agy99_00049	CDS	183				hypothetical protein
Agy99_00050	CDS	774				putative protein
Agy99_00051	CDS	1293			COG0477	putative MFS-type transporter
Agy99_00052	CDS	540				hypothetical protein
Agy99_00053	CDS	1041				hypothetical protein
Agy99_00054	CDS	351				hypothetical protein
Agy99_00055	CDS	1134				hypothetical protein
Agy99_00056	CDS	3012	leuS	6.1.1.4	COG0495	Leucine--tRNA ligase
Agy99_00057	CDS	666		1.-.-.-	COG4221	putative oxidoreductase
Agy99_00058	CDS	504				hypothetical protein
Agy99_00059	CDS	267	tcyC	3.6.3.-	COG1126	L-cystine import ATP-binding protein TcyC
Agy99_00060	CDS	501	glnQ			Glutamine transport ATP-binding protein GlnQ
Agy99_00061	CDS	501				hypothetical protein
Agy99_00062	CDS	1287				hypothetical protein
Agy99_00063	CDS	765			COG1802	putative HTH-type transcriptional regulator
Agy99_00064	CDS	798	rutA_1	1.14.99.46		Pyrimidine monooxygenase RutA
Agy99_00065	CDS	930	menH_1	4.2.99.20		2-succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate synthase
Agy99_00066	CDS	1119	ino1	5.5.1.4	COG1260	Inositol-3-phosphate synthase
Agy99_00067	CDS	543				hypothetical protein
Agy99_00068	CDS	939				putative protein
Agy99_00069	CDS	435				putative protein
Agy99_00070	CDS	2538	ponA1		COG0744	Penicillin-binding protein 1A
Agy99_00071	CDS	1641				hypothetical protein
Agy99_00072	CDS	639	inhA_1	4.2.1.103		Isonitrile hydratase
Agy99_00073	CDS	291	rpsF		COG0360	30S ribosomal protein S6
Agy99_00074	CDS	516	ssb		COG0629	Single-stranded DNA-binding protein
Agy99_00075	CDS	255	rpsR1		COG0238	30S ribosomal protein S18 1
Agy99_00076	CDS	459	rplI		COG0359	50S ribosomal protein L9
Agy99_00077	CDS	1383	dnaB	3.6.4.12	COG0305	Replicative DNA helicase
Agy99_00078	CDS	645				hypothetical protein
Agy99_00079	CDS	780	rutD_1	3.5.1.-		Putative aminoacrylate hydrolase RutD
Agy99_00080	CDS	438				hypothetical protein
Agy99_00081	CDS	1329				hypothetical protein
Agy99_00082	CDS	615				hypothetical protein
Agy99_00083	CDS	336				putative protein
Agy99_00084	CDS	930				hypothetical protein
Agy99_00085	CDS	555	mdtD_1			Putative multidrug resistance protein MdtD
Agy99_00086	CDS	288	mmpL4_1		COG2409	Siderophore exporter MmpL4
Agy99_00087	CDS	585				hypothetical protein
Agy99_00088	CDS	744				hypothetical protein
Agy99_00089	CDS	936				hypothetical protein
Agy99_00090	CDS	306				hypothetical protein
Agy99_00091	CDS	417				hypothetical protein
Agy99_00092	CDS	1236				hypothetical protein
Agy99_00093	CDS	1248				hypothetical protein
Agy99_00094	CDS	831				hypothetical protein
Agy99_00095	CDS	930	glfT1	2.4.1.287	COG1216	Galactofuranosyltransferase GlfT1
Agy99_00096	CDS	843	btuD_1	7.6.2.8		Vitamin B12 import ATP-binding protein BtuD
Agy99_00097	CDS	534	bpa			Bacterial proteasome activator
Agy99_00098	CDS	1968				hypothetical protein
Agy99_00099	CDS	1197			COG0520	putative protein
Agy99_00100	CDS	993		1.3.1.103		2-haloacrylate reductase
Agy99_00101	tRNA	90				tRNA-Ser(tga)
Agy99_00102	CDS	144				hypothetical protein
Agy99_00103	CDS	915				putative PPE family protein PPE42
Agy99_00104	CDS	1302				hypothetical protein
Agy99_00105	CDS	1041				IS256 family transposase IS2606
Agy99_00106	CDS	1302				hypothetical protein
Agy99_00107	CDS	867				hypothetical protein
Agy99_00108	CDS	600				hypothetical protein
Agy99_00109	CDS	1035	fba	4.1.2.13	COG0191	Fructose-bisphosphate aldolase
Agy99_00110	CDS	693			COG0586	putative membrane protein
Agy99_00111	CDS	1116				hypothetical protein
Agy99_00112	CDS	510	cya_1	4.6.1.1	COG2114	Adenylate cyclase
Agy99_00113	CDS	819	cya_2	4.6.1.1	COG2114	Adenylate cyclase
Agy99_00114	CDS	990				hypothetical protein
Agy99_00115	CDS	315				hypothetical protein
Agy99_00116	CDS	993	eutB_1	4.3.1.7	COG4303	Ethanolamine ammonia-lyase heavy chain
Agy99_00117	CDS	444	eutB_2	4.3.1.7	COG4303	Ethanolamine ammonia-lyase heavy chain
Agy99_00118	CDS	774	eutC	4.3.1.7		Ethanolamine ammonia-lyase light chain
Agy99_00119	CDS	1206				hypothetical protein
Agy99_00120	CDS	675				hypothetical protein
Agy99_00121	CDS	879				hypothetical protein
Agy99_00122	CDS	591				hypothetical protein
Agy99_00123	CDS	774				hypothetical protein
Agy99_00124	CDS	2391	cutL	1.2.5.3		Carbon monoxide dehydrogenase large chain
Agy99_00125	CDS	483	coxS_1	1.2.5.3		Carbon monoxide dehydrogenase small chain
Agy99_00126	CDS	603	cutM	1.2.5.3		Carbon monoxide dehydrogenase medium chain
Agy99_00127	CDS	378				hypothetical protein
Agy99_00128	CDS	624				hypothetical protein
Agy99_00129	CDS	933			COG0583	putative HTH-type transcriptional regulator
Agy99_00130	CDS	201	secE2		COG3360	Calcium dodecin
Agy99_00131	CDS	645	trmH	2.1.1.34		tRNA (guanosine(18)-2'-O)-methyltransferase
Agy99_00132	CDS	894				hypothetical protein
Agy99_00133	CDS	540	pyrE_1	2.4.2.10	COG0461	Orotate phosphoribosyltransferase
Agy99_00134	CDS	774				hypothetical protein
Agy99_00135	CDS	855				hypothetical protein
Agy99_00136	CDS	831	crt_1	4.2.1.150	COG1024	Short-chain-enoyl-CoA hydratase
Agy99_00137	CDS	2547	clpB		COG0542	Chaperone protein ClpB
Agy99_00138	CDS	1182	hmp_1	1.14.12.17		Flavohemoprotein
Agy99_00139	CDS	891				hypothetical protein
Agy99_00140	CDS	1302				hypothetical protein
Agy99_00141	CDS	132				hypothetical protein
Agy99_00142	CDS	1335				IS256 family transposase IS2606
Agy99_00143	CDS	132				hypothetical protein
Agy99_00144	CDS	1449				hypothetical protein
Agy99_00145	CDS	366				putative PPE family protein PPE38
Agy99_00146	CDS	783				putative PPE family protein PPE38
Agy99_00147	CDS	1065	betI_1			HTH-type transcriptional regulator BetI
Agy99_00148	CDS	195				hypothetical protein
Agy99_00149	CDS	843	calA_1	1.1.1.194		Coniferyl-alcohol dehydrogenase
Agy99_00150	CDS	651	yhfK	4.-.-.-	COG0702	putative sugar epimerase YhfK
Agy99_00151	CDS	2292	metE	2.1.1.14	COG0620	5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase
Agy99_00152	CDS	1722				hypothetical protein
Agy99_00153	CDS	510				hypothetical protein
Agy99_00154	CDS	1566	ppdK	2.7.9.1	COG0574	Pyruvate, phosphate dikinase
Agy99_00155	CDS	606				hypothetical protein
Agy99_00156	CDS	378				hypothetical protein
Agy99_00157	CDS	846				hypothetical protein
Agy99_00158	CDS	906	ephA_1	3.3.2.10		Epoxide hydrolase A
Agy99_00159	CDS	102				hypothetical protein
Agy99_00160	CDS	249				hypothetical protein
Agy99_00161	CDS	504	betI_2			HTH-type transcriptional regulator BetI
Agy99_00162	CDS	477				hypothetical protein
Agy99_00163	CDS	867	menH_2	4.2.99.20		2-succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate synthase
Agy99_00164	CDS	1023		1.1.1.343	COG1023	6-phosphogluconate dehydrogenase, NAD(+)-dependent, decarboxylating
Agy99_00165	CDS	1017	zwf1	1.1.1.49	COG0364	Glucose-6-phosphate 1-dehydrogenase 1
Agy99_00166	CDS	834				hypothetical protein
Agy99_00167	CDS	165				hypothetical protein
Agy99_00168	CDS	702				hypothetical protein
Agy99_00169	CDS	330				hypothetical protein
Agy99_00170	CDS	447				hypothetical protein
Agy99_00171	CDS	240				hypothetical protein
Agy99_00172	CDS	1521		1.13.11.-	COG3670	Carotenoid cleavage oxygenase
Agy99_00173	CDS	474				hypothetical protein
Agy99_00174	CDS	435				hypothetical protein
Agy99_00175	CDS	774			COG3324	Putative glyoxylase CFP32
Agy99_00176	CDS	531				hypothetical protein
Agy99_00177	CDS	645				hypothetical protein
Agy99_00178	CDS	447				Toxin
Agy99_00179	CDS	189				Antitoxin
Agy99_00180	CDS	1212				hypothetical protein
Agy99_00181	CDS	1332				IS256 family transposase IS2606
Agy99_00182	CDS	255				IS256 family transposase IS2606
Agy99_00183	CDS	1302				hypothetical protein
Agy99_00184	CDS	1080	ychF		COG0012	Ribosome-binding ATPase YchF
Agy99_00185	CDS	1194				hypothetical protein
Agy99_00186	CDS	1047	ispH2	1.17.7.4	COG0761	4-hydroxy-3-methylbut-2-enyl diphosphate reductase 2
Agy99_00187	CDS	552				putative protein
Agy99_00188	CDS	1248	xseA	3.1.11.6	COG1570	Exodeoxyribonuclease 7 large subunit
Agy99_00189	CDS	249	xseB	3.1.11.6	COG1722	Exodeoxyribonuclease 7 small subunit
Agy99_00190	CDS	1083			COG0451	3 beta-hydroxysteroid dehydrogenase/Delta 5-->4-isomerase
Agy99_00191	CDS	258				hypothetical protein
Agy99_00192	CDS	267				hypothetical protein
Agy99_00193	CDS	1302				hypothetical protein
Agy99_00194	CDS	1185	pnbA_1	3.1.1.-	COG2272	Para-nitrobenzyl esterase
Agy99_00195	CDS	1158			COG0628	Putative transport protein
Agy99_00196	CDS	801				hypothetical protein
Agy99_00197	CDS	582				hypothetical protein
Agy99_00198	CDS	1089	glpX	3.1.3.11	COG1494	Fructose-1,6-bisphosphatase class 2
Agy99_00199	CDS	1431	fumC	4.2.1.2	COG0114	Fumarate hydratase class II
Agy99_00200	CDS	993				hypothetical protein
Agy99_00201	CDS	684			COG2114	putative protein
Agy99_00202	CDS	465				hypothetical protein
Agy99_00203	CDS	876				hypothetical protein
Agy99_00204	CDS	888				hypothetical protein
Agy99_00205	CDS	420				hypothetical protein
Agy99_00206	CDS	906	desA2	1.14.19.-		Putative acyl-[acyl-carrier-protein] desaturase DesA2
Agy99_00207	CDS	1416	glyA1	2.1.2.1	COG0112	Serine hydroxymethyltransferase 1
Agy99_00208	CDS	939	coaA	2.7.1.33	COG1072	Pantothenate kinase
Agy99_00209	CDS	981				hypothetical protein
Agy99_00210	CDS	414				hypothetical protein
Agy99_00211	CDS	1368				hypothetical protein
Agy99_00212	CDS	816		2.5.1.68	COG0020	(2Z,6E)-farnesyl diphosphate synthase
Agy99_00213	CDS	750				hypothetical protein
Agy99_00214	CDS	384	ksi	5.3.3.1		Steroid Delta-isomerase
Agy99_00215	CDS	2025				hypothetical protein
Agy99_00216	CDS	300				hypothetical protein
Agy99_00217	CDS	873	mca	3.5.1.115	COG2120	Mycothiol S-conjugate amidase
Agy99_00218	CDS	435				hypothetical protein
Agy99_00219	CDS	495	greA		COG0782	Transcription elongation factor GreA
Agy99_00220	CDS	1167	metB	2.5.1.48	COG0626	Cystathionine gamma-synthase
Agy99_00221	CDS	441	pra		COG1714	Proline-rich antigen 
Agy99_00222	CDS	1404	cbs	4.2.1.22	COG0031	Putative cystathionine beta-synthase
Agy99_00223	CDS	774	lipF	3.1.1.1		Carboxylesterase LipF
Agy99_00224	CDS	957				hypothetical protein
Agy99_00225	CDS	1218	fadA_1	2.3.1.16	COG0183	3-ketoacyl-CoA thiolase
Agy99_00226	CDS	843				hypothetical protein
Agy99_00227	CDS	1050	caiD_1	4.2.1.149		Carnitinyl-CoA dehydratase
Agy99_00228	CDS	774	echA8_1	4.2.1.17	COG1024	putative enoyl-CoA hydratase echA8
Agy99_00229	CDS	1797				hypothetical protein
Agy99_00230	CDS	1911				hypothetical protein
Agy99_00231	CDS	891				hypothetical protein
Agy99_00232	CDS	1302				hypothetical protein
Agy99_00233	CDS	807				hypothetical protein
Agy99_00234	CDS	384				hypothetical protein
Agy99_00235	CDS	582				hypothetical protein
Agy99_00236	CDS	420				hypothetical protein
Agy99_00237	CDS	1065			COG1752	putative NTE family protein
Agy99_00238	CDS	168				hypothetical protein
Agy99_00239	CDS	741				hypothetical protein
Agy99_00240	CDS	879	egtC_1	3.5.1.118		Gamma-glutamyl-hercynylcysteine sulfoxide hydrolase
Agy99_00241	CDS	474				hypothetical protein
Agy99_00242	CDS	918				hypothetical protein
Agy99_00243	CDS	234	lipY_1	3.1.1.3		Triacylglycerol lipase
Agy99_00244	CDS	960				hypothetical protein
Agy99_00245	CDS	318				hypothetical protein
Agy99_00246	CDS	882		1.8.3.7	COG1262	Formylglycine-generating enzyme
Agy99_00247	CDS	897				hypothetical protein
Agy99_00248	CDS	1551				hypothetical protein
Agy99_00249	CDS	816				hypothetical protein
Agy99_00250	CDS	1632	dmdB	6.2.1.44	COG0318	3-methylmercaptopropionyl-CoA ligase
Agy99_00251	CDS	1200				hypothetical protein
Agy99_00252	CDS	1302				hypothetical protein
Agy99_00253	CDS	2376	ctpE	7.2.2.10	COG0474	Calcium-transporting ATPase CtpE
Agy99_00254	CDS	798				hypothetical protein
Agy99_00255	CDS	738				hypothetical protein
Agy99_00256	CDS	1119			COG2220	putative protein
Agy99_00257	CDS	732	echA6	4.2.1.17	COG1024	putative enoyl-CoA hydratase echA6
Agy99_00258	CDS	1482	accD3	6.4.1.2	COG0777	Putative acetyl-coenzyme A carboxylase carboxyl transferase subunit beta
Agy99_00259	CDS	1500	stp_1			Multidrug resistance protein Stp
Agy99_00260	CDS	1263	kbl	2.3.1.29	COG0156	2-amino-3-ketobutyrate coenzyme A ligase
Agy99_00261	CDS	945	cysM	2.5.1.113	COG0031	O-phosphoserine sulfhydrylase
Agy99_00262	CDS	225				hypothetical protein
Agy99_00263	CDS	561				hypothetical protein
Agy99_00264	CDS	432				hypothetical protein
Agy99_00265	CDS	612				hypothetical protein
Agy99_00266	CDS	126		1.3.99.-	COG3573	KsdD-like steroid dehydrogenase
Agy99_00267	CDS	1380		1.3.99.-	COG3573	KsdD-like steroid dehydrogenase
Agy99_00268	CDS	711	prrA			Transcriptional regulatory protein PrrA
Agy99_00269	CDS	1344	prrB	2.7.13.3	COG0642	Sensor-type histidine kinase PrrB
Agy99_00270	CDS	336				hypothetical protein
Agy99_00271	CDS	279				hypothetical protein
Agy99_00272	CDS	234				hypothetical protein
Agy99_00273	CDS	999	arfA		COG2885	Peptidoglycan-binding protein ArfA
Agy99_00274	CDS	264				putative protein
Agy99_00275	CDS	1575			COG1233	putative protein
Agy99_00276	CDS	1296	gltA2	2.3.3.16	COG0372	Citrate synthase 1
Agy99_00277	CDS	1470		1.14.13.-	COG2072	putative monooxygenase
Agy99_00278	CDS	489	pdxH	1.4.3.5	COG0259	Pyridoxine 5'-phosphate oxidase
Agy99_00279	CDS	930				hypothetical protein
Agy99_00280	CDS	855	citA	2.3.3.16	COG0372	Putative citrate synthase 2
Agy99_00281	CDS	399	spmT_1	3.1.4.12		Sphingomyelinase
Agy99_00282	CDS	1302				hypothetical protein
Agy99_00283	CDS	918				IS256 family transposase IS2606
Agy99_00284	CDS	897	spmT_2	3.1.4.12		Sphingomyelinase
Agy99_00285	CDS	459			COG2764	putative protein
Agy99_00286	CDS	1686	fprB	1.18.1.2	COG0493	putative ferredoxin/ferredoxin--NADP reductase
Agy99_00287	CDS	1026				putative protein
Agy99_00288	CDS	1299	serC	2.6.1.52	COG1932	Phosphoserine aminotransferase
Agy99_00289	CDS	792				putative protein
Agy99_00290	CDS	288				hypothetical protein
Agy99_00291	CDS	840	rlmB	2.1.1.185		23S rRNA (guanosine-2'-O-)-methyltransferase RlmB
Agy99_00292	CDS	384			COG1846	putative HTH-type transcriptional regulator
Agy99_00293	CDS	282				hypothetical protein
Agy99_00294	CDS	456				hypothetical protein
Agy99_00295	CDS	804				putative protein
Agy99_00296	CDS	1677			COG0477	putative protein
Agy99_00297	CDS	489				putative protein
Agy99_00298	CDS	855				hypothetical protein
Agy99_00299	CDS	912	yqjG	1.8.5.7	COG0435	Glutathionyl-hydroquinone reductase YqjG
Agy99_00300	CDS	1953		1.3.-.-	COG1960	putative acyl-CoA dehydrogenase FadE10
Agy99_00301	CDS	405				hypothetical protein
Agy99_00302	CDS	405	yccF		COG3304	Inner membrane protein YccF
Agy99_00303	CDS	1083	moaA2	4.1.99.22	COG2896	GTP 3',8-cyclase 2
Agy99_00304	CDS	315				hypothetical protein
Agy99_00305	CDS	864				hypothetical protein
Agy99_00306	CDS	426	moaE2_1	2.8.1.12	COG0314	Molybdopterin synthase catalytic subunit 2
Agy99_00307	CDS	486	mog	2.7.7.75	COG0521	Molybdopterin adenylyltransferase
Agy99_00308	CDS	426	moaC2	4.6.1.17	COG0315	Cyclic pyranopterin monophosphate synthase 2
Agy99_00309	CDS	210				hypothetical protein
Agy99_00310	CDS	2259				hypothetical protein
Agy99_00311	CDS	1650				hypothetical protein
Agy99_00312	CDS	321				hypothetical protein
Agy99_00313	CDS	948	fgd_1	1.1.98.2		F420-dependent glucose-6-phosphate dehydrogenase
Agy99_00314	CDS	537				hypothetical protein
Agy99_00315	CDS	1212			COG0654	putative protein
Agy99_00316	CDS	2145	fadJ_1		COG1024	Fatty acid oxidation complex subunit alpha
Agy99_00317	CDS	1371	fadA_2	2.3.1.-	COG0183	Putative acyltransferase
Agy99_00318	CDS	1197	dapC	2.6.1.17	COG0436	putative N-succinyldiaminopimelate aminotransferase DapC
Agy99_00319	CDS	216				hypothetical protein
Agy99_00320	CDS	402				hypothetical protein
Agy99_00321	CDS	591				hypothetical protein
Agy99_00322	CDS	441				hypothetical protein
Agy99_00323	CDS	1701	kdc	4.1.1.-	COG3961	Alpha-keto-acid decarboxylase
Agy99_00324	CDS	186				hypothetical protein
Agy99_00325	CDS	504				hypothetical protein
Agy99_00326	CDS	594				putative protein
Agy99_00327	CDS	984				hypothetical protein
Agy99_00328	CDS	729	fadD3_1	6.2.1.41	COG0318	3-[(3aS,4S,7aS)-7a-methyl-1,5-dioxo-octahydro-1H-inden-4-yl]propanoyl:CoA ligase
Agy99_00329	CDS	564	fadD3_2	6.2.1.41	COG0318	3-[(3aS,4S,7aS)-7a-methyl-1,5-dioxo-octahydro-1H-inden-4-yl]propanoyl:CoA ligase
Agy99_00330	CDS	1182				hypothetical protein
Agy99_00331	CDS	423	lppE_1			putative lipoprotein LppE
Agy99_00332	CDS	765	fadJ_2	5.1.2.3		Fatty acid oxidation complex subunit alpha
Agy99_00333	CDS	432				putative protein
Agy99_00334	CDS	189				hypothetical protein
Agy99_00335	CDS	276				hypothetical protein
Agy99_00336	CDS	135				hypothetical protein
Agy99_00337	CDS	1275		1.14.-.-	COG2124	Cytochrome P450 144
Agy99_00338	CDS	732	phaB	1.1.1.36		Acetoacetyl-CoA reductase
Agy99_00339	CDS	201				hypothetical protein
Agy99_00340	CDS	1413				hypothetical protein
Agy99_00341	CDS	828		1.3.99.-		Putative acyl-CoA dehydrogenase FadE17
Agy99_00342	CDS	999				hypothetical protein
Agy99_00343	CDS	501	baiE_1	4.2.1.106		Bile acid 7-alpha dehydratase
Agy99_00344	CDS	1656	dauA		COG0659	C4-dicarboxylic acid transporter DauA
Agy99_00345	CDS	1083		1.3.99.-		Putative acyl-CoA dehydrogenase FadE17
Agy99_00346	CDS	720				hypothetical protein
Agy99_00347	CDS	1203		1.14.-.-	COG2124	Cytochrome P450 130
Agy99_00348	CDS	807	hcaB_1	1.3.1.87		3-phenylpropionate-dihydrodiol/cinnamic acid-dihydrodiol dehydrogenase
Agy99_00349	CDS	831	ptlF_1	1.1.1.340		1-deoxy-11-beta-hydroxypentalenate dehydrogenase
Agy99_00350	CDS	807	fabG_1	1.1.1.100		3-oxoacyl-[acyl-carrier-protein] reductase FabG
Agy99_00351	CDS	2439	frc_1	2.8.3.16		Formyl-CoA:oxalate CoA-transferase
Agy99_00352	CDS	435				hypothetical protein
Agy99_00353	CDS	549				hypothetical protein
Agy99_00354	CDS	1119		3.5.3.3		Creatinase
Agy99_00355	CDS	1236		3.5.3.3		Creatinase
Agy99_00356	CDS	660				hypothetical protein
Agy99_00357	CDS	546				hypothetical protein
Agy99_00358	CDS	1245		1.14.-.-		Cytochrome P450-SU2
Agy99_00359	CDS	195	subB			Ferredoxin-2
Agy99_00360	CDS	666				hypothetical protein
Agy99_00361	CDS	804	bacC_1	1.1.1.385		Dihydroanticapsin 7-dehydrogenase
Agy99_00362	CDS	348				hypothetical protein
Agy99_00363	CDS	492				hypothetical protein
Agy99_00364	CDS	1278	mdtH_1			Multidrug resistance protein MdtH
Agy99_00365	CDS	1185				hypothetical protein
Agy99_00366	CDS	417	lpqS			Lipoprotein LpqS
Agy99_00367	CDS	1659	mmcO	1.16.3.1	COG2132	Multicopper oxidase MmcO
Agy99_00368	CDS	819	carC_1	3.7.1.13		2-hydroxy-6-oxo-6-(2'-aminophenyl)hexa-2,4-dienoic acid hydrolase
Agy99_00369	CDS	990				hypothetical protein
Agy99_00370	CDS	816	calA_2	1.1.1.194		Coniferyl-alcohol dehydrogenase
Agy99_00371	CDS	1302	limB_1	1.14.13.107		Limonene 1,2-monooxygenase
Agy99_00372	CDS	1755	kstD_1	1.3.99.4	COG1053	3-oxosteroid 1-dehydrogenase
Agy99_00373	CDS	921	mhpB	1.13.11.16		2,3-dihydroxyphenylpropionate/2,3-dihydroxicinnamic acid 1,2-dioxygenase
Agy99_00374	CDS	513	mhpA_1	1.14.13.127	COG0654	3-(3-hydroxy-phenyl)propionate/3-hydroxycinnamic acid hydroxylase
Agy99_00375	CDS	678				hypothetical protein
Agy99_00376	CDS	1611	ksdD	1.3.99.4	COG1053	3-oxosteroid 1-dehydrogenase
Agy99_00377	CDS	1395	narS_1	2.7.13.3	COG4585	putative sensor histidine kinase NarS
Agy99_00378	CDS	651	narL		COG2197	putative transcriptional regulatory protein NarL
Agy99_00379	CDS	780	narS_2	2.7.13.3	COG4585	putative sensor histidine kinase NarS
Agy99_00380	CDS	663	narS_3	2.7.13.3	COG4585	putative sensor histidine kinase NarS
Agy99_00381	CDS	447	acoA	1.1.1.-	COG1071	Acetoin:2,6-dichlorophenolindophenol oxidoreductase subunit alpha
Agy99_00382	CDS	423				hypothetical protein
Agy99_00383	CDS	1539	yfcJ			putative MFS-type transporter YfcJ
Agy99_00384	CDS	300				PE family protein PE13
Agy99_00385	CDS	879		3.6.-.-	COG1703	putative GTPase
Agy99_00386	CDS	1200	thlA_1	2.3.1.9	COG0183	Acetyl-CoA acetyltransferase
Agy99_00387	CDS	642	pip	3.4.11.5		Proline iminopeptidase
Agy99_00388	CDS	768	crt_2	4.2.1.150	COG1024	Short-chain-enoyl-CoA hydratase
Agy99_00389	CDS	1098		1.3.99.-		Putative acyl-CoA dehydrogenase FadE17
Agy99_00390	CDS	870	caiA_1	1.3.8.13		Crotonobetainyl-CoA reductase
Agy99_00391	CDS	1404		6.2.1.3	COG0318	Long-chain-fatty-acid--CoA ligase FadD13
Agy99_00392	CDS	282	hmp_2	1.14.15.30	COG1018	3-ketosteroid-9-alpha-monooxygenase, ferredoxin reductase component
Agy99_00393	CDS	972	yfdE	2.8.3.19	COG1804	Acetyl-CoA:oxalate CoA-transferase
Agy99_00394	CDS	957				hypothetical protein
Agy99_00395	CDS	438	scpA_1	5.4.99.2	COG1884	Methylmalonyl-CoA mutase
Agy99_00396	CDS	1578	mcm	5.4.99.2	COG1884	Methylmalonyl-CoA mutase
Agy99_00397	CDS	813	COQ5_1	2.1.1.163		2-methoxy-6-polyprenyl-1,4-benzoquinol methylase, mitochondrial
Agy99_00398	CDS	669	ddpX	3.4.13.22	COG2173	D-alanyl-D-alanine dipeptidase
Agy99_00399	CDS	858				hypothetical protein
Agy99_00400	CDS	420				hypothetical protein
Agy99_00401	CDS	531				hypothetical protein
Agy99_00402	CDS	855				hypothetical protein
Agy99_00403	CDS	291				hypothetical protein
Agy99_00404	CDS	264				hypothetical protein
Agy99_00405	CDS	993				hypothetical protein
Agy99_00406	CDS	372	carC_2	1.3.99.26	COG1233	All-trans-zeta-carotene desaturase
Agy99_00407	CDS	1125	carA2	1.3.99.29	COG1233	zeta-carotene-forming phytoene desaturase
Agy99_00408	CDS	960	crtB	2.5.1.32	COG1562	15-cis-phytoene synthase
Agy99_00409	CDS	324				hypothetical protein
Agy99_00410	CDS	375				hypothetical protein
Agy99_00411	CDS	216				hypothetical protein
Agy99_00412	CDS	216				hypothetical protein
Agy99_00413	CDS	267				hypothetical protein
Agy99_00414	CDS	834	mmpL3_1		COG2409	Trehalose monomycolate exporter MmpL3
Agy99_00415	CDS	552				hypothetical protein
Agy99_00416	CDS	1047	fni	5.3.3.2	COG1304	Isopentenyl-diphosphate delta-isomerase
Agy99_00417	CDS	708				hypothetical protein
Agy99_00418	CDS	603				hypothetical protein
Agy99_00419	CDS	1485	ansP1		COG1113	L-asparagine permease 1
Agy99_00420	CDS	243				hypothetical protein
